city;city_ascii;lat;lng;pop;country;iso2;iso3;province
Ponta Delgada;Ponta Delgada;37,74830182;-25,6665835;40791;Portugal;PT;PRT;Azores
Lisbon;Lisbon;38,72272288;-9,144866305;1664901;Portugal;PT;PRT;Lisboa
Falun;Falun;60,61300204;15,64700455;36477;Sweden;SE;SWE;Dalarna
Nykoping;Nykoping;58,76399718;17,01500451;27582;Sweden;SE;SWE;Södermanland
Harnosand;Harnosand;62,63399704;17,93400362;17016;Sweden;SE;SWE;Västernorrland
Karlskrona;Karlskrona;56,20300219;15,29600461;35212;Sweden;SE;SWE;Blekinge
Mariestad;Mariestad;58,70500209;13,82799659;14891;Sweden;SE;SWE;Västra Götaland
Vannersborg;Vannersborg;58,36300214;12,33000061;21835;Sweden;SE;SWE;Västra Götaland
Borlänge;Borlange;60,48332237;15,4166711;38974,5;Sweden;SE;SWE;Dalarna
Västerås;Vasteraas;59,63001528;16,54001339;100186,5;Sweden;SE;SWE;Västmanland
Bollnäs;Bollnas;61,35200319;16,36658728;12771,5;Sweden;SE;SWE;Gävleborg
Gävle;Gavle;60,66698041;17,1666418;68235,5;Sweden;SE;SWE;Gävleborg
Kalmar;Kalmar;56,66701784;16,36658728;34884;Sweden;SE;SWE;Kalmar
Växjö;Vaxjo;56,88369712;14,81670772;53067,5;Sweden;SE;SWE;Kronoberg
Örebro;Orebro;59,2803467;15,2199906;95932;Sweden;SE;SWE;Orebro
Norrköping;Norrkoping;58,59542727;16,17869177;85771;Sweden;SE;SWE;Östergötland
Halmstad;Halmstad;56,67177207;12,85558712;55433;Sweden;SE;SWE;Halland
Karlstad;Karlstad;59,36713727;13,49994055;66703,5;Sweden;SE;SWE;Värmland
Skellefteå;Skelleftea;64,77207867;20,95002844;31075;Sweden;SE;SWE;Västerbotten
Visby;Visby;57,63365135;18,30000932;22281,5;Sweden;SE;SWE;Gotland
Trollhättan;Trollhattan;58,26710105;12,29996212;44532,5;Sweden;SE;SWE;Västra Götaland
Borås;Boras;57,7304413;12,91997595;64115,5;Sweden;SE;SWE;Västra Götaland
Kristianstad;Kristianstad;56,03367149;14,1332869;26763,5;Sweden;SE;SWE;Skåne
Helsingborg;Helsingborg;56,05049217;12,70004106;91164,5;Sweden;SE;SWE;Skåne
Jönköping;Jonkoping;57,7713432;14,16501623;86491;Sweden;SE;SWE;Jönköping
Örnsköldsvik;Ornskoldsvik;63,31800722;18,71667639;26406;Sweden;SE;SWE;Västernorrland
Linköping;Linkoping;58,41001223;15,62993974;94111,5;Sweden;SE;SWE;Östergötland
Östersund;Ostersund;63,1833126;14,64999955;44559;Sweden;SE;SWE;Jämtland
Kiruna;Kiruna;67,8500045;20,21663651;13302;Sweden;SE;SWE;Norrbotten
Umeå;Umea;63,82999147;20,23999426;76101;Sweden;SE;SWE;Västerbotten
Uppsala;Uppsala;59,86005292;17,63999792;130425,5;Sweden;SE;SWE;Uppsala
Göteborg;Goteborg;57,75000083;12,0000321;520940,5;Sweden;SE;SWE;Västra Götaland
Luleå;Lulea;65,59663477;22,15837833;47094,5;Sweden;SE;SWE;Norrbotten
Sundsvall;Sundsvall;62,40005292;17,31665849;60926;Sweden;SE;SWE;Västernorrland
Malmö;Malmo;55,58333722;13,03330237;265448,5;Sweden;SE;SWE;Skåne
Stockholm;Stockholm;59,35075995;18,09733473;1258654,5;Sweden;SE;SWE;Stockholm
Delemont;Delemont;47,36999713;7,344999488;11315;Switzerland;CH;CHE;Jura
Neuchatel;Neuchatel;46,99899914;6,922998615;31270;Switzerland;CH;CHE;Neuchâtel
Aarau;Aarau;47,3900041;8,03400361;15501;Switzerland;CH;CHE;Aargau
Stans;Stans;46,95000307;8,383302547;7475;Switzerland;CH;CHE;Nidwalden
Sion;Sion;46,23900303;7,353999482;28045;Switzerland;CH;CHE;Valais
Herisau;Herisau;47,38329903;9,283302472;15438;Switzerland;CH;CHE;Appenzell Ausserrhoden
Saint Gallen;Saint Gallen;47,42299807;9,361998557;70572;Switzerland;CH;CHE;Sankt Gallen
Bellinzona;Bellinzona;46,19700013;9,019998609;16572;Switzerland;CH;CHE;Ticino
Glarus;Glarus;47,05000204;9,066699587;5681;Switzerland;CH;CHE;Glarus
Schaffhausen;Schaffhausen;47,70600309;8,632998523;33863;Switzerland;CH;CHE;Schaffhausen
Schwyz;Schwyz;47,01999604;8,648001603;14177;Switzerland;CH;CHE;Schwyz
Frauenfeld;Frauenfeld;47,56799717;9,108000502;21979;Switzerland;CH;CHE;Thurgau
Altdorf;Altdorf;46,87900214;8,638002584;8678;Switzerland;CH;CHE;Uri
Zug;Zug;47,17899903;8,487000565;23435;Switzerland;CH;CHE;Zug
Fribourg;Fribourg;46,80000008;7,149996522;32827;Switzerland;CH;CHE;Fribourg
Liestal;Liestal;47,48300112;7,737003468;12832;Switzerland;CH;CHE;Basel-Landschaft
Solothurn;Solothurn;47,2120021;7,536996608;14853;Switzerland;CH;CHE;Solothurn
Sarnen;Sarnen;46,89900002;8,243001529;9410;Switzerland;CH;CHE;Obwalden
Appenzell;Appenzell;47,3333041;9,416700505;5649;Switzerland;CH;CHE;Appenzell Innerrhoden
Chur;Chur;46,85002016;9,500029662;35361;Switzerland;CH;CHE;Graubünden
Biel;Biel;47,16658999;7,2500378;63661;Switzerland;CH;CHE;Bern
Luzern;Luzern;47,05042137;8,280000772;163745,5;Switzerland;CH;CHE;Lucerne
Lugano;Lugano;46,0003821;8,966677204;65876,5;Switzerland;CH;CHE;Ticino
Lausanne;Lausanne;46,53042727;6,650022744;191226,5;Switzerland;CH;CHE;Vaud
Basel;Basel;47,58038902;7,590017048;500317,5;Switzerland;CH;CHE;Basel-Stadt
Bern;Bern;46,91668276;7,466975462;198480;Switzerland;CH;CHE;Bern
Zürich;Zurich;47,37998781;8,55001013;724865;Switzerland;CH;CHE;Zürich
Geneva;Geneva;46,21000755;6,140028034;716192,5;Switzerland;CH;CHE;Genève
Greenock;Greenock;55,93329002;-4,750030763;59065;United Kingdom;GB;GBR;Inverclyde
Sunderland;Sunderland;54,92001853;-1,380029746;315449,5;United Kingdom;GB;GBR;Tyne and Wear
Southampton;Southampton;50,90003135;-1,399976849;384417;United Kingdom;GB;GBR;Southampton
Bristol;Bristol;51,44999778;-2,583315472;492120,5;United Kingdom;GB;GBR;Bristol
Bournemouth;Bournemouth;50,72999005;-1,900049684;295272,5;United Kingdom;GB;GBR;Bournemouth
Omagh;Omagh;54,60001223;-7,300004315;18691;United Kingdom;GB;GBR;Omagh
Chester;Chester;53,20002016;-2,919987428;83285,5;United Kingdom;GB;GBR;Cheshire
Swansea;Swansea;51,6299868;-3,950002077;232611;United Kingdom;GB;GBR;Swansea
Carlisle;Carlisle;54,87999514;-2,929986818;69270;United Kingdom;GB;GBR;Cumbria
Southend-on-Sea;Southend;51,55001752;0,71999711;395993;United Kingdom;GB;GBR;Southend-on-Sea
Reading;Reading;51,46997072;-0,980028322;257752;United Kingdom;GB;GBR;Oxfordshire
Leicester;Leicester;52,62997744;-1,133248943;398611;United Kingdom;GB;GBR;Leicester
Bradford;Bradford;53,80003522;-1,749981325;397708,5;United Kingdom;GB;GBR;West Yorkshire
Sheffield;Sheffield;53,36667666;-1,499996583;922800;United Kingdom;GB;GBR;South Yorkshire
Fort William;Fort William;56,81647795;-5,112075806;9652;United Kingdom;GB;GBR;Highland
Ayr;Ayr;55,4503996;-4,61667973;57277,5;United Kingdom;GB;GBR;South Ayrshire
Aberdeen;Aberdeen;57,17039797;-2,079987021;186577;United Kingdom;GB;GBR;Aberdeen
Perth;Perth;56,40034161;-3,469979697;39654;United Kingdom;GB;GBR;Perthshire and Kinross
Dundee;Dundee;56,47038902;-3,000008384;151013,5;United Kingdom;GB;GBR;Dundee
Middlesbrough;Middlesbrough;54,58037518;-1,230013063;279374,5;United Kingdom;GB;GBR;Stockton-on-Tees
Coventry;Coventry;52,42040367;-1,499996583;348292;United Kingdom;GB;GBR;West Midlands
Bath;Bath;51,3837486;-2,350022218;92679;United Kingdom;GB;GBR;Bath and North East Somerset
Exeter;Exeter;50,70040529;-3,529950197;108242;United Kingdom;GB;GBR;Devon
Cambridge;Cambridge;52,20039125;0,116623086;128488;United Kingdom;GB;GBR;Cambridgeshire
Kingston upon Hull;Kingston upon Hull;53,75042584;-0,32999048;297398,5;United Kingdom;GB;GBR;Kingston upon Hull
Londonderry;Londonderry;55,00037539;-7,333283937;82635;United Kingdom;GB;GBR;Derry
Lisburn;Lisburn;54,52037884;-6,670016929;12899;United Kingdom;GB;GBR;Dungannon
Penzance;Penzance;50,13372154;-5,550033611;18150,5;United Kingdom;GB;GBR;Cornwall
York;York;53,97038658;-1,080022218;151574,5;United Kingdom;GB;GBR;York
Blackpool;Blackpool;53,83039512;-3,050005332;207946,5;United Kingdom;GB;GBR;Lancashire
Dumfries;Dumfries;55,06708966;-3,550000652;31044;United Kingdom;GB;GBR;Dumfries and Galloway
Scarborough;Scarborough;54,28039349;-0,429984376;70571;United Kingdom;GB;GBR;North Yorkshire
Plymouth;Plymouth;50,38538576;-4,159989259;239436;United Kingdom;GB;GBR;Plymouth
Ipswich;Ipswich;52,07034751;1,169995482;139012;United Kingdom;GB;GBR;Suffolk
Norwich;Norwich;52,63036501;1,300013386;184196;United Kingdom;GB;GBR;Norfolk
Brighton;Brighton;50,83034568;-0,169974407;321004,5;United Kingdom;GB;GBR;Brighton and Hove
Kirkwall;Kirkwall;58,96698081;-2,950011435;5826,5;United Kingdom;GB;GBR;Moray
Inverness;Inverness;57,46712404;-4,23326644;42956,5;United Kingdom;GB;GBR;Highland
Oxford;Oxford;51,7704175;-1,249986004;173681;United Kingdom;GB;GBR;Oxfordshire
Luton;Luton;51,88035911;-0,420010825;214813,5;United Kingdom;GB;GBR;Luton
Portsmouth;Portsmouth;50,80034751;-1,080022218;323676;United Kingdom;GB;GBR;Portsmouth
Peterborough;Peterborough;52,58041974;-0,249995363;140141;United Kingdom;GB;GBR;Peterborough
Nottingham;Nottingham;52,97034426;-1,170016725;565650;United Kingdom;GB;GBR;Nottingham
Stoke;Stoke;53,00036826;-2,180006756;325610;United Kingdom;GB;GBR;Stoke-on-Trent
Dover;Dover;51,13371218;1,300013386;32270;United Kingdom;GB;GBR;Kent
Edinburgh;Edinburgh;55,94832786;-3,219090618;470378,5;United Kingdom;GB;GBR;Edinburgh
Newcastle;Newcastle;55,00037539;-1,59999048;537191;United Kingdom;GB;GBR;Tyne and Wear
Liverpool;Liverpool;53,41600181;-2,917997886;639972,5;United Kingdom;GB;GBR;Merseyside
Cardiff;Cardiff;51,49999473;-3,22500757;603750;United Kingdom;GB;GBR;Cardiff
Wick;Wick;58,43329246;-3,083362469;7147;United Kingdom;GB;GBR;Highland
Leeds;Leeds;53,83000755;-1,580017539;992061,5;United Kingdom;GB;GBR;West Yorkshire
Lerwick;Lerwick;60,15003522;-1,149992108;5604;United Kingdom;GB;GBR;Aberdeen
Manchester;Manchester;53,50041526;-2,247987103;1312757,5;United Kingdom;GB;GBR;Manchester
Birmingham;Birmingham;52,47497398;-1,919996787;1634666,5;United Kingdom;GB;GBR;West Midlands
Belfast;Belfast;54,60001223;-5,960034425;362588;United Kingdom;GB;GBR;Belfast
Glasgow;Glasgow;55,87440472;-4,250707236;885134;United Kingdom;GB;GBR;Glasgow
London;London;51,49999473;-0,116721844;7994104,5;United Kingdom;GB;GBR;Westminster
